Page	Functionality	Description	Implemented in dataverse-frontend	Implementation evidence	Implementation notes
Dataset Page	Export Dataset Metadata	Dropdown of metadata export formats (e.g. DDI, JSON-LD, Dublin Core) opened in a new tab.	Yes	src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx; src/sections/edit-dataset-terms/EditDatasetTerms.tsx; src/sections/create-dataset/CreateDataset.tsx; src/dataset/domain/useCases/createDataset.ts	Implemented in the React SPA.
Dataset Page	Terms Tab	Displays the dataset's terms of use and access conditions.	Yes	src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx; src/sections/edit-dataset-terms/EditDatasetTerms.tsx; src/sections/create-dataset/CreateDataset.tsx; src/dataset/domain/useCases/createDataset.ts	Implemented in the React SPA.
Dataset Page	Versions Tab	Displays the version history table for the dataset.	Yes	src/sections/dataset/Dataset.tsx; src/sections/dataset/DatasetFactory.tsx	Implemented in the React SPA.
Dataset Page	Guestbook and Terms Popup	Prompts the user to complete a guestbook and/or accept terms before downloading gated files.	Yes	src/sections/dataset/dataset-action-buttons/access-dataset-menu/AccessDatasetMenu.tsx; src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons	Implemented in the React SPA.
Dataset Page	Rsync Data Access Popup	Displays rsync download connection instructions for a file package.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No rsync/package popup implementation found.
Dataset Page	Package Download Popup	Displays download options and instructions for a bundled file package.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No rsync/package popup implementation found.
Dataset Page	Request Access Sign-Up/Log-In Prompt	Prompts unauthenticated users to sign up or log in before they can request file access.	Yes	src/sections/dataset/dataset-action-buttons/access-dataset-menu/AccessDatasetMenu.tsx; src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons	Implemented in the React SPA.
Dataset Page	Edit File Tags	Assigns/removes categorization tags and tabular data tags on selected files, with an option to remove unused tags.	Yes	src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons	Implemented in the React SPA.
Dataset Page	Delete Selected Files	Confirms and immediately deletes the currently selected files from the dataset.	Partial	src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons	Single file delete is implemented; header bulk edit/delete actions currently open the not-implemented modal.
Dataset Page	Download Blocked by Size Dialog	Informs the user a download cannot proceed because the selection exceeds the size limit.	Yes	src/sections/dataset/dataset-action-buttons/access-dataset-menu/AccessDatasetMenu.tsx; src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons	Implemented in the React SPA.
Dataset Page	Download Blocked by Restriction Dialog	Informs the user a download cannot proceed because selected files are restricted/embargoed, with a link to request access.	Partial	src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons	Download/request guards exist, but this exact mixed/restricted transfer dialog was not clearly found.
Dataset Page	Mixed Selection Download Continue	Lets the user continue downloading only the unrestricted files from a mixed valid/invalid selection.	Partial	src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons	Download/request guards exist, but this exact mixed/restricted transfer dialog was not clearly found.
Dataset Page	Mixed Selection Transfer Continue	Lets the user continue a Globus transfer of only the transferable files from a mixed valid/invalid selection.	Partial	src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons	Download/request guards exist, but this exact mixed/restricted transfer dialog was not clearly found.
Dataset Page	No Files Selected Warning	Warns the user that no files were selected before attempting download, transfer, or access-request actions.	Yes	src/sections/dataset/Dataset.tsx; src/sections/dataset/DatasetFactory.tsx	Implemented in the React SPA.
Dataset Page	Compute Restricted-File Warning	Informs the user that compute is unavailable because the dataset contains restricted files.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset Globus/compute cart workflows were not found; source contains a TODO for compute.
Dataset Page	Publish Blocked - Parent Unpublished	Warns that the dataset cannot be published because its parent collection is not yet published.	Partial	src/sections/dataset/publish-dataset/PublishDatasetModal.tsx; src/dataset/domain/useCases/publishDataset.ts	Publish help text can publish parent collection when needed; exact blocked two-generation dialog was not found.
Dataset Page	Publish Blocked - Two Generations Unpublished	Warns that the dataset cannot be published because both parent and grandparent collections are unpublished.	Partial	src/sections/dataset/publish-dataset/PublishDatasetModal.tsx; src/dataset/domain/useCases/publishDataset.ts	Publish help text can publish parent collection when needed; exact blocked two-generation dialog was not found.
Dataset Page	Publish Dataset Dialog Options	Presents version-note entry, minor/major/update version selection, and a disclaimer checkbox before confirming publish.	Yes	src/sections/dataset/publish-dataset/PublishDatasetModal.tsx; src/dataset/domain/useCases/publishDataset.ts	Implemented in the React SPA.
Dataset Page	Submit for Review Dialog Options	Presents an optional custom disclaimer checkbox that must be acknowledged before submitting for review.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Submit-for-review button opens the not-implemented modal.
Dataset Page	Return to Author Reason Entry	Text field for entering the reason sent back to the contributor when rejecting a submission.	Partial	src/sections/dataset/dataset-action-buttons	Return-to-author menu item is rendered for in-review drafts, but no submission workflow was found.
Dataset Page	Tab Switching (Files/Metadata/Terms/Versions)	Switches the active content tab and records the selection for the session.	Yes	src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx; src/sections/edit-dataset-terms/EditDatasetTerms.tsx; src/sections/create-dataset/CreateDataset.tsx; src/dataset/domain/useCases/createDataset.ts	Implemented in the React SPA.
Dataset Page	View Dataset Status Labels	Read-only badges showing draft, embargoed, in-review, unpublished, deaccessioned, incomplete, and curation status.	Yes	src/sections/dataset/Dataset.tsx; src/sections/dataset/DatasetFactory.tsx	Implemented in the React SPA.
Dataset Page	Deaccession Reason Notice (top banner)	Read-only display of the deaccession note and optional forwarding link shown at the top of a deaccessioned dataset's page.	Yes	src/sections/dataset/deaccession-dataset; src/dataset/domain/useCases/deaccessionDataset.ts	Implemented in the React SPA.
Dataset Citation	View Formatted Citation	Displays the standard formatted citation text for the dataset version, selectable/copyable with a click.	Yes	src/sections/shared/citation; src/sections/dataset/dataset-citation/DatasetCitation.tsx; src/dataset/domain/useCases/getDatasetCitationInOtherFormats.ts	Implemented in the React SPA.
Dataset Citation	Download Citation Dropdown	Opens a dropdown menu of citation export formats (EndNote/XML, RIS, BibTeX) for downloading the dataset citation.	Yes	src/sections/shared/citation; src/sections/dataset/dataset-citation/DatasetCitation.tsx; src/dataset/domain/useCases/getDatasetCitationInOtherFormats.ts	Implemented in the React SPA.
Dataset Citation	Download Citation as EndNote XML	Downloads the dataset citation in EndNote XML format.	Yes	src/sections/shared/citation; src/sections/dataset/dataset-citation/DatasetCitation.tsx; src/dataset/domain/useCases/getDatasetCitationInOtherFormats.ts	Implemented in the React SPA.
Dataset Citation	Download Citation as RIS	Downloads the dataset citation in RIS format.	Yes	src/sections/shared/citation; src/sections/dataset/dataset-citation/DatasetCitation.tsx; src/dataset/domain/useCases/getDatasetCitationInOtherFormats.ts	Implemented in the React SPA.
Dataset Citation	Download Citation as BibTeX	Downloads the dataset citation in BibTeX format, opened in a new browser tab.	Yes	src/sections/shared/citation; src/sections/dataset/dataset-citation/DatasetCitation.tsx; src/dataset/domain/useCases/getDatasetCitationInOtherFormats.ts	Implemented in the React SPA.
Dataset Citation	Cite Dataset in Multiple Styles	Selects a citation style (APA, MLA, Chicago, etc. via CSL) and views/copies the formatted citation in a dialog.	Partial	src/sections/shared/citation; src/sections/dataset/dataset-citation/DatasetCitation.tsx; src/dataset/domain/useCases/getDatasetCitationInOtherFormats.ts	Styled citation modal exists with Chicago-Author-Date only; source TODO notes more CSL styles are pending.
Dataset Citation	Unpublished/Draft/Deaccessioned Notice	Shows a tooltip explaining citation status when the dataset is unpublished, in draft, or deaccessioned.	Yes	src/sections/dataset/Dataset.tsx; src/sections/dataset/DatasetFactory.tsx	Implemented in the React SPA.
Dataset Citation	Thumbnail/Dataset Icon Display	Shows the dataset's thumbnail image or a generic dataset icon next to the citation block.	Yes	src/sections/dataset/Dataset.tsx; src/sections/dataset/DatasetFactory.tsx	Implemented in the React SPA.
Dataset Terms/License	Edit Terms Button	Opens the dataset edit page directly on the license/terms tab for users with edit permission.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	Select Standard License	Chooses a standard license (e.g. CC0) from a dropdown of licenses available to the installation/collection.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	Select Custom Terms	"Chooses ""custom"" (no license) option to enter custom Terms of Use instead of a standard license."	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	View Selected License	Displays the chosen license's icon, name, and link to the full license text.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	Edit Terms of Use Text	Enters/edits free-text Terms of Use shown when no standard license is selected.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	Edit Confidentiality Declaration	Enters/edits additional confidentiality declaration text for the dataset's terms.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	Edit Special Permissions Text	Enters/edits additional special permissions text for the dataset's terms.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	Edit Restrictions Text	Enters/edits additional restrictions text for the dataset's terms.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	Edit Citation Requirements Text	Enters/edits additional citation requirements text for the dataset's terms.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	Edit Depositor Requirements Text	Enters/edits additional depositor requirements text for the dataset's terms.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	Edit Conditions Text	Enters/edits additional conditions text for the dataset's terms.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	Edit Disclaimer Text	Enters/edits additional disclaimer text for the dataset's terms.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	View Restricted File Count Notice	Shows how many files in the dataset are restricted, when applicable.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	View/Edit Terms of Access	Displays or edits the text describing access conditions for restricted files.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	Enable File Access Requests Toggle	Checkbox to allow users to request access to restricted files in the dataset.	Partial	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts	Partially implemented in the React SPA.
Dataset Terms/License	View Access-Request Status	Shows whether requesting access to restricted files is currently enabled or not.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	Edit Data Access Place	Enters/edits text describing the physical/alternate place data can be accessed.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	Edit Original Archive Text	Enters/edits text noting the original archive that held the data.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	Edit Availability Status Text	Enters/edits text describing the availability status of the data.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	Edit Contact for Access Text	Enters/edits contact information for requesting access to the data.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	Edit Size of Collection Text	Enters/edits text describing the size of the data collection.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	Edit Study Completion Text	Enters/edits text describing the study completion status.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	View/Select Guestbook	Shows the guestbook currently associated with the dataset, or lets an editor select one from available guestbooks.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	Preview Guestbook	Opens a dialog to preview the questions/fields of a selected guestbook.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Terms/License	Clear Selected Guestbook	Removes the guestbook currently assigned to the dataset.	Yes	src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataset Versions	View Version History Table	Lists all versions of the dataset with version number, summary of changes, contributors, and publication date.	Yes	src/sections/dataset/dataset-versions; src/dataset/domain/useCases/getDatasetVersionsSummaries.ts; src/dataset/domain/useCases/getDatasetVersionDiff.ts	Implemented in the React SPA.
Dataset Versions	View Version Summary of Changes	Shows an auto-generated summary describing which citation/metadata fields were added, removed, or changed between versions.	Yes	src/sections/dataset/dataset-versions; src/dataset/domain/useCases/getDatasetVersionsSummaries.ts; src/dataset/domain/useCases/getDatasetVersionDiff.ts	Implemented in the React SPA.
Dataset Versions	Compare Selected Versions	Selects two or more versions via checkboxes and opens a detailed field-by-field diff between them, warning if not exactly two are chosen.	Yes	src/sections/dataset/dataset-versions; src/dataset/domain/useCases/getDatasetVersionsSummaries.ts; src/dataset/domain/useCases/getDatasetVersionDiff.ts	Implemented in the React SPA.
Dataset Versions	View Full Version Differences Detail	Read-only dialog showing metadata and file-level differences between two selected versions.	Yes	src/sections/dataset/dataset-versions; src/dataset/domain/useCases/getDatasetVersionsSummaries.ts; src/dataset/domain/useCases/getDatasetVersionDiff.ts	Implemented in the React SPA.
Dataset Versions	Navigate to a Specific Version	Clicks a version number/state link to open the dataset at that specific version.	Yes	src/sections/dataset/dataset-versions; src/dataset/domain/useCases/getDatasetVersionsSummaries.ts; src/dataset/domain/useCases/getDatasetVersionDiff.ts	Implemented in the React SPA.
Dataset Versions	View/Edit Version Note	Shows the note attached to a draft version, with a dialog to add or edit that note.	Partial	src/sections/dataset/dataset-versions; src/dataset/domain/useCases/getDatasetVersionsSummaries.ts; src/dataset/domain/useCases/getDatasetVersionDiff.ts	Version summaries/diffs are implemented; editing version notes was not found.
Dataset Versions	View Contributor Names	Shows the names of contributors for each dataset version (withheld if the dataset view is anonymized).	Yes	src/sections/dataset/dataset-versions; src/dataset/domain/useCases/getDatasetVersionsSummaries.ts; src/dataset/domain/useCases/getDatasetVersionDiff.ts	Implemented in the React SPA.
Dataset Versions	View Deaccession Reason (version row)	Shows the reason a specific version was deaccessioned and, if provided, a link to where the data can now be found.	Yes	src/sections/dataset/dataset-versions; src/dataset/domain/useCases/getDatasetVersionsSummaries.ts; src/dataset/domain/useCases/getDatasetVersionDiff.ts	Implemented in the React SPA.
Dataset Versions	View Archival Copy Status	Shows whether a version has been archived (success, obsolete, pending, failure, not archived) with an optional link to the archived copy.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Archival copy status/submission workflow not found.
Dataset Versions	Submit Version for Archiving	Superuser action to submit a specific dataset version to the configured archiving system (e.g. DuraCloud/Chronopolis).	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Archival copy status/submission workflow not found.
Dataset Metadata	View Dataset Metadata Blocks	Displays all populated citation and domain-specific metadata blocks in collapsible panels, including persistent ID and publication/citation dates.	Yes	src/sections/dataset/dataset-metadata; src/sections/shared/form/DatasetMetadataForm; src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx	Implemented in the React SPA.
Dataset Metadata	Select Metadata Language	Chooses the metadata language for the dataset when multiple languages are configured, both at view and edit/create time.	Partial	src/sections/dataset/dataset-metadata; src/sections/shared/form/DatasetMetadataForm; src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx	Core metadata form is implemented; this specialized metadata feature was not clearly found.
Dataset Metadata	Edit Metadata Field Value	Enters or changes the value of a primitive metadata field (text, date, number, URL, email, controlled vocabulary, textbox) while editing.	Yes	src/sections/dataset/dataset-metadata; src/sections/shared/form/DatasetMetadataForm; src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx	Implemented in the React SPA.
Dataset Metadata	Add Another Field Value	"Clicks ""+"" next to a repeatable metadata field to add another value instance of that field."	Yes	src/sections/dataset/dataset-metadata; src/sections/shared/form/DatasetMetadataForm; src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx	Implemented in the React SPA.
Dataset Metadata	Remove a Field Value	"Clicks ""-"" next to a repeatable metadata field value to delete that instance."	Yes	src/sections/dataset/dataset-metadata; src/sections/shared/form/DatasetMetadataForm; src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx	Implemented in the React SPA.
Dataset Metadata	Add Compound Field Group	"Clicks ""+"" next to a repeatable compound field (e.g. author) to add another full group of sub-fields."	Yes	src/sections/dataset/dataset-metadata; src/sections/shared/form/DatasetMetadataForm; src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx	Implemented in the React SPA.
Dataset Metadata	Remove Compound Field Group	"Clicks ""-"" next to a repeatable compound field to delete that group of sub-fields."	Yes	src/sections/dataset/dataset-metadata; src/sections/shared/form/DatasetMetadataForm; src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx	Implemented in the React SPA.
Dataset Metadata	Select Controlled Vocabulary Value (single)	Chooses one value from a dropdown of controlled vocabulary terms for a metadata field.	Yes	src/sections/dataset/dataset-metadata; src/sections/shared/form/DatasetMetadataForm; src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx	Implemented in the React SPA.
Dataset Metadata	Select Controlled Vocabulary Values (multiple)	Chooses one or more values from a checkbox menu of controlled vocabulary terms for a metadata field.	Yes	src/sections/dataset/dataset-metadata; src/sections/shared/form/DatasetMetadataForm; src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx	Implemented in the React SPA.
Dataset Metadata	View/Edit Field Instructions (template)	Shows or inline-edits template instructions text attached to a metadata field when editing a metadata template.	Partial	src/sections/dataset/dataset-metadata; src/sections/shared/form/DatasetMetadataForm; src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx	Core metadata form is implemented; this specialized metadata feature was not clearly found.
Dataset Metadata	Add Replication Data Prefix	"Button that prepends ""Replication data for"" text to the dataset title field client-side during dataset creation."	Partial	src/sections/dataset/dataset-metadata; src/sections/shared/form/DatasetMetadataForm; src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx	Core metadata form is implemented; this specialized metadata feature was not clearly found.
Dataset Metadata	Use External Controlled-Vocabulary Lookup	Loads external vocabulary lookup scripts that let a field autocomplete against a remote controlled-vocabulary/term service.	Partial	src/sections/dataset/dataset-metadata; src/sections/shared/form/DatasetMetadataForm; src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx	Core metadata form is implemented; this specialized metadata feature was not clearly found.
Dataset Metadata	View Anonymized Field Withheld Notice	"Shows a ""withheld"" placeholder instead of a field's value when the dataset view is anonymized (e.g. for blind review)."	Yes	src/sections/dataset/dataset-metadata; src/sections/shared/form/DatasetMetadataForm; src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx	Implemented in the React SPA.
Metadata Field Edit	Enter Free-Text Field Value	Types a value into a text/number/date/URL/email input for a single metadata field value.	Yes	src/sections/dataset/dataset-metadata; src/sections/shared/form/DatasetMetadataForm; src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx	Implemented in the React SPA.
Metadata Field Edit	Enter Long-Text Field Value	Types a value into a multi-line textarea for TEXTBOX-type metadata fields.	Yes	src/sections/dataset/dataset-metadata; src/sections/shared/form/DatasetMetadataForm; src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx	Implemented in the React SPA.
Metadata Field Edit	Enter Controlled-Vocabulary Linked Value	Types a value into a text field wired to an external controlled vocabulary lookup service.	Yes	src/sections/dataset/dataset-metadata; src/sections/shared/form/DatasetMetadataForm; src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx	Implemented in the React SPA.
Metadata Field Edit	View Field Validation Error	Shows an inline error message when a metadata field value fails validation.	Yes	src/sections/dataset/dataset-metadata; src/sections/shared/form/DatasetMetadataForm; src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx	Implemented in the React SPA.
License Info Summary	View License Summary (publish dialog)	Displays the dataset's license icon, name, link, and description (or custom terms) inside the publish and submit-for-review confirmation dialogs.	Yes	src/sections/dataset/publish-dataset/PublishDatasetModal.tsx; src/dataset/domain/useCases/publishDataset.ts; src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts	Implemented in the React SPA.
License Info Summary	View Custom Terms Summary	When no standard license is set, displays terms of use, confidentiality, permissions, restrictions, citation/depositor requirements, conditions, and disclaimer text.	Yes	src/sections/dataset/publish-dataset/PublishDatasetModal.tsx; src/dataset/domain/useCases/publishDataset.ts; src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts	Implemented in the React SPA.
License Info Summary	View Terms of Access Summary	Displays terms of access text for restricted files, shown only when the dataset has restricted files.	Yes	src/sections/dataset/publish-dataset/PublishDatasetModal.tsx; src/dataset/domain/useCases/publishDataset.ts; src/sections/dataset/dataset-terms; src/sections/edit-dataset-terms; src/dataset/domain/useCases/updateDatasetLicense.ts; src/dataset/domain/useCases/updateTermsOfAccess.ts	Implemented in the React SPA.
Add Data Form	Prompt to Sign Up	Shows a dialog for anonymous users prompting them to create an account before adding data, with a signup link if signups are allowed.	Yes	src/sections/layout/header; src/sections/shared/add-data-actions/AddDataActionsButton.tsx; src/router/ProtectedRoute.tsx	Implemented in the React SPA.
Add Data Form	Prompt to Log In	Shows a dialog for anonymous users with a login link, redirecting back to the current page after authentication, so they can add data.	Yes	src/sections/layout/header; src/sections/shared/add-data-actions/AddDataActionsButton.tsx; src/router/ProtectedRoute.tsx	Implemented in the React SPA.
Move Dataset	Search/Select Dataset to Move	Type-ahead autocomplete search to find and select the dataset that should be moved.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Move Dataset	Search/Select Destination Collection	Type-ahead autocomplete search to find and select the target dataverse (collection) to move the dataset into.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Move Dataset	Move Dataset (Save)	Validates the selection and opens a confirmation dialog before moving the dataset to the chosen collection.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Move Dataset	Confirm Move	Confirms the move action in the dialog, executing the relocation of the dataset to the new collection.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Move Dataset	Cancel Move Confirmation	Dismisses the move confirmation dialog without performing the move.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Move Dataset	Cancel Move Dataset Page	Cancels out of the move-dataset form entirely and returns to the dashboard.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Contact Form	Enter Sender Email	Types in the sender's email address, required and validated for users who are not logged in.	Yes	src/sections/shared/contact/ContactButton.tsx; src/sections/shared/contact/contact-modal/ContactModal.tsx; src/contact/domain/useCases/sendFeedbacktoOwners.ts	Implemented in the React SPA.
Contact Form	Enter Message Subject	Types in the subject line of the contact message, required.	Yes	src/sections/shared/contact/ContactButton.tsx; src/sections/shared/contact/contact-modal/ContactModal.tsx; src/contact/domain/useCases/sendFeedbacktoOwners.ts	Implemented in the React SPA.
